City,Period,Temperature,Status
RIO PARDO DE MINAS,2020-06,18.0,Regular
RIO PARDO DE MINAS,2020-07,18.0,Regular
RIO PARDO DE MINAS,2020-08,19.0,Regular
RIO PARDO DE MINAS,2020-09,22.0,Regular
RIO PARDO DE MINAS,2020-10,24.0,Perfect
RIO PARDO DE MINAS,2020-11,21.0,Regular
RIO PARDO DE MINAS,2020-12,23.0,Regular
RIO PARDO DE MINAS,2021-01,23.0,Regular
RIO PARDO DE MINAS,2021-02,22.0,Regular
RIO PARDO DE MINAS,2021-03,22.0,Regular
RIO PARDO DE MINAS,2021-04,21.0,Regular
RIO PARDO DE MINAS,2021-05,20.0,Regular
RIO PARDO DE MINAS,2021-06,18.0,Regular
RIO PARDO DE MINAS,2021-07,18.0,Regular
RIO PARDO DE MINAS,2021-08,19.0,Regular
RIO PARDO DE MINAS,2021-09,22.0,Regular
RIO PARDO DE MINAS,2021-10,24.0,Perfect
RIO PARDO DE MINAS,2021-11,22.0,Regular
RIO PARDO DE MINAS,2021-12,22.0,Regular
RIO PARDO DE MINAS,2022-01,23.0,Regular
RIO PARDO DE MINAS,2022-02,23.0,Regular
RIO PARDO DE MINAS,2022-03,22.0,Regular
RIO PARDO DE MINAS,2022-04,21.0,Regular
RIO PARDO DE MINAS,2022-05,20.0,Regular
RIO PARDO DE MINAS,2022-06,17.0,Regular
RIO PARDO DE MINAS,2022-07,18.0,Regular
RIO PARDO DE MINAS,2022-08,19.0,Regular
RIO PARDO DE MINAS,2022-09,21.0,Regular
RIO PARDO DE MINAS,2022-10,23.0,Regular
RIO PARDO DE MINAS,2022-11,21.0,Regular
RIO PARDO DE MINAS,2022-12,22.0,Regular
RIO PARDO DE MINAS,2023-01,22.0,Regular
RIO PARDO DE MINAS,2023-02,23.0,Regular
RIO PARDO DE MINAS,2023-03,23.0,Regular
RIO PARDO DE MINAS,2023-04,22.0,Regular
RIO PARDO DE MINAS,2023-05,20.0,Regular
RIO PARDO DE MINAS,2023-06,18.0,Regular
RIO PARDO DE MINAS,2023-07,19.0,Regular
RIO PARDO DE MINAS,2023-08,20.0,Regular
RIO PARDO DE MINAS,2023-09,22.0,Regular
RIO PARDO DE MINAS,2023-10,24.0,Perfect
RIO PARDO DE MINAS,2023-11,25.0,Perfect
RIO PARDO DE MINAS,2023-12,25.0,Perfect
SACRAMENTO,2019-01,24.0,Perfect
SACRAMENTO,2019-02,24.0,Perfect
SACRAMENTO,2019-03,23.0,Regular
SACRAMENTO,2019-04,23.0,Regular
SACRAMENTO,2019-05,21.0,Regular
SACRAMENTO,2019-06,19.0,Regular
SACRAMENTO,2019-07,19.0,Regular
SACRAMENTO,2019-08,21.0,Regular
SACRAMENTO,2019-09,25.0,Perfect
SACRAMENTO,2019-10,25.0,Perfect
SACRAMENTO,2019-11,24.0,Perfect
SACRAMENTO,2019-12,23.0,Regular
SACRAMENTO,2020-01,23.0,Regular
SACRAMENTO,2020-02,23.0,Regular
SACRAMENTO,2020-03,23.0,Regular
SACRAMENTO,2020-04,22.0,Regular
SACRAMENTO,2020-05,18.0,Regular
SACRAMENTO,2020-06,20.0,Regular
SACRAMENTO,2020-07,20.0,Regular
SACRAMENTO,2020-08,21.0,Regular
SACRAMENTO,2020-09,25.0,Perfect
SACRAMENTO,2020-10,25.0,Perfect
SACRAMENTO,2020-11,23.0,Regular
SACRAMENTO,2020-12,23.0,Regular
SACRAMENTO,2021-01,24.0,Perfect
SACRAMENTO,2021-02,23.0,Regular
SACRAMENTO,2021-03,23.0,Regular
SACRAMENTO,2021-04,22.0,Regular
SACRAMENTO,2021-05,24.0,Perfect
SACRAMENTO,2021-06,23.0,Regular
SACRAMENTO,2021-07,22.0,Regular
SACRAMENTO,2021-08,26.0,Perfect
SACRAMENTO,2021-09,30.0,Perfect
SACRAMENTO,2021-10,27.0,Perfect
SACRAMENTO,2021-11,25.0,Perfect
SACRAMENTO,2021-12,23.0,Regular
SACRAMENTO,2022-01,23.0,Regular
SACRAMENTO,2022-02,23.0,Regular
SACRAMENTO,2022-03,24.0,Perfect
SACRAMENTO,2022-04,23.0,Regular
SACRAMENTO,2022-05,18.0,Regular
SACRAMENTO,2022-06,19.0,Regular
SACRAMENTO,2022-07,20.0,Regular
SACRAMENTO,2022-08,21.0,Regular
SACRAMENTO,2022-09,23.0,Regular
SACRAMENTO,2022-10,24.0,Perfect
SACRAMENTO,2022-11,22.0,Regular
SACRAMENTO,2022-12,23.0,Regular
SACRAMENTO,2023-01,22.0,Regular
SACRAMENTO,2023-02,23.0,Regular
SACRAMENTO,2023-03,23.0,Regular
SACRAMENTO,2023-04,22.0,Regular
SACRAMENTO,2023-05,19.0,Regular
SACRAMENTO,2023-06,18.0,Regular
SACRAMENTO,2023-07,20.0,Regular
SACRAMENTO,2023-08,22.0,Regular
SACRAMENTO,2023-09,25.0,Perfect
SACRAMENTO,2023-10,25.0,Perfect
SACRAMENTO,2023-11,25.0,Perfect
SACRAMENTO,2023-12,25.0,Perfect
SALINAS,2019-01,26.0,Perfect
SALINAS,2019-02,27.0,Perfect
SALINAS,2019-03,26.0,Perfect
SALINAS,2019-04,25.0,Perfect
SALINAS,2019-05,24.0,Perfect
SALINAS,2019-06,22.0,Regular
SALINAS,2019-07,21.0,Regular
SALINAS,2019-08,22.0,Regular
SALINAS,2019-09,25.0,Perfect
SALINAS,2019-10,27.0,Perfect
SALINAS,2019-11,28.0,Perfect
SALINAS,2019-12,27.0,Perfect
SALINAS,2020-01,26.0,Perfect
SALINAS,2020-02,26.0,Perfect
SALINAS,2020-03,24.0,Perfect
SALINAS,2020-04,24.0,Perfect
SALINAS,2020-05,22.0,Regular
SALINAS,2020-06,21.0,Regular
SALINAS,2020-07,22.0,Regular
SALINAS,2020-08,24.0,Perfect
SALINAS,2020-09,28.0,Perfect
SALINAS,2020-10,30.0,Perfect
SALINAS,2020-11,26.0,Perfect
SALINAS,2020-12,27.0,Perfect
SALINAS,2021-01,26.0,Perfect
SALINAS,2021-02,24.0,Perfect
SALINAS,2021-03,24.0,Perfect
SALINAS,2021-04,23.0,Regular
SALINAS,2021-05,22.0,Regular
SALINAS,2021-06,21.0,Regular
SALINAS,2021-07,20.0,Regular
SALINAS,2021-08,23.0,Regular
SALINAS,2021-09,30.0,Perfect
SALINAS,2021-10,27.0,Perfect
SALINAS,2021-11,28.0,Perfect
SALINAS,2021-12,24.0,Perfect
SALINAS,2022-01,24.0,Perfect
SALINAS,2022-02,25.0,Perfect
SALINAS,2022-03,25.0,Perfect
SALINAS,2022-04,24.0,Perfect
SALINAS,2022-05,21.0,Regular
SALINAS,2022-06,20.0,Regular
SALINAS,2022-07,23.0,Regular
SALINAS,2022-08,22.0,Regular
SALINAS,2022-09,24.0,Perfect
SALINAS,2022-10,27.0,Perfect
SALINAS,2022-11,24.0,Perfect
SALINAS,2022-12,24.0,Perfect
SALINAS,2023-01,25.0,Perfect
SALINAS,2023-02,25.0,Perfect
SALINAS,2023-03,25.0,Perfect
SALINAS,2023-04,25.0,Perfect
SALINAS,2023-05,22.0,Regular
SALINAS,2023-06,21.0,Regular
SALINAS,2023-07,24.0,Perfect
SALINAS,2023-08,24.0,Perfect
SALINAS,2023-09,26.0,Perfect
SALINAS,2023-10,28.0,Perfect
SALINAS,2023-11,30.0,Perfect
SALINAS,2023-12,28.0,Perfect
SAO JOAO DEL REI,2019-01,23.0,Regular
SAO JOAO DEL REI,2019-02,23.0,Regular
SAO JOAO DEL REI,2019-03,22.0,Regular
SAO JOAO DEL REI,2019-04,21.0,Regular
SAO JOAO DEL REI,2019-05,19.0,Regular
SAO JOAO DEL REI,2019-06,17.0,Regular
SAO JOAO DEL REI,2019-07,15.0,Regular
SAO JOAO DEL REI,2019-08,17.0,Regular
SAO JOAO DEL REI,2019-09,21.0,Regular
SAO JOAO DEL REI,2019-10,22.0,Regular
SAO JOAO DEL REI,2019-11,21.0,Regular
SAO JOAO DEL REI,2019-12,22.0,Regular
SAO JOAO DEL REI,2020-01,22.0,Regular
SAO JOAO DEL REI,2020-02,21.0,Regular
SAO JOAO DEL REI,2020-03,21.0,Regular
SAO JOAO DEL REI,2020-04,20.0,Regular
SAO JOAO DEL REI,2020-05,18.0,Regular
SAO JOAO DEL REI,2020-06,20.0,Regular
SAO JOAO DEL REI,2020-07,20.0,Regular
SAO JOAO DEL REI,2020-08,20.0,Regular
SAO JOAO DEL REI,2020-09,25.0,Perfect
SAO JOAO DEL REI,2020-10,23.0,Regular
SAO JOAO DEL REI,2020-11,21.0,Regular
SAO JOAO DEL REI,2020-12,22.0,Regular
SAO JOAO DEL REI,2021-01,23.0,Regular
SAO JOAO DEL REI,2021-02,22.0,Regular
SAO JOAO DEL REI,2021-03,22.0,Regular
SAO JOAO DEL REI,2021-04,19.0,Regular
SAO JOAO DEL REI,2021-05,18.0,Regular
SAO JOAO DEL REI,2021-06,16.0,Regular
SAO JOAO DEL REI,2021-07,15.0,Regular
SAO JOAO DEL REI,2021-08,18.0,Regular
SAO JOAO DEL REI,2021-09,22.0,Regular
SAO JOAO DEL REI,2021-10,20.0,Regular
SAO JOAO DEL REI,2021-11,21.0,Regular
SAO JOAO DEL REI,2021-12,21.0,Regular
SAO JOAO DEL REI,2022-01,22.0,Regular
SAO JOAO DEL REI,2022-02,22.0,Regular
SAO JOAO DEL REI,2022-03,23.0,Regular
SAO JOAO DEL REI,2022-04,21.0,Regular
SAO JOAO DEL REI,2022-05,16.0,Regular
SAO JOAO DEL REI,2022-06,16.0,Regular
SAO JOAO DEL REI,2022-07,16.0,Regular
SAO JOAO DEL REI,2022-08,17.0,Regular
SAO JOAO DEL REI,2022-09,19.0,Regular
SAO JOAO DEL REI,2022-10,21.0,Regular
SAO JOAO DEL REI,2022-11,20.0,Regular
SAO JOAO DEL REI,2022-12,20.0,Regular
SAO JOAO DEL REI,2023-01,21.0,Regular
SAO JOAO DEL REI,2023-02,22.0,Regular
SAO JOAO DEL REI,2023-03,22.0,Regular
SAO JOAO DEL REI,2023-04,20.0,Regular
SAO JOAO DEL REI,2023-05,18.0,Regular
SAO JOAO DEL REI,2023-06,19.0,Regular
SAO JOAO DEL REI,2023-07,17.0,Regular
SAO JOAO DEL REI,2023-08,18.0,Regular
SAO JOAO DEL REI,2023-09,22.0,Regular
SAO JOAO DEL REI,2023-10,23.0,Regular
SAO JOAO DEL REI,2023-11,23.0,Regular
SAO JOAO DEL REI,2023-12,23.0,Regular
SAO ROMAO,2019-01,26.0,Perfect
SAO ROMAO,2019-02,26.0,Perfect
SAO ROMAO,2019-03,26.0,Perfect
SAO ROMAO,2019-04,25.0,Perfect
SAO ROMAO,2019-05,24.0,Perfect
SAO ROMAO,2019-06,22.0,Regular
SAO ROMAO,2019-07,21.0,Regular
SAO ROMAO,2019-08,24.0,Perfect
SAO ROMAO,2019-09,27.0,Perfect
SAO ROMAO,2019-10,29.0,Perfect
SAO ROMAO,2019-11,29.0,Perfect
SAO ROMAO,2019-12,28.0,Perfect
SAO ROMAO,2020-01,26.0,Perfect
SAO ROMAO,2020-02,26.0,Perfect
SAO ROMAO,2020-03,25.0,Perfect
SAO ROMAO,2020-04,26.0,Perfect
SAO ROMAO,2020-05,26.0,Perfect
SAO ROMAO,2020-06,26.0,Perfect
SAO ROMAO,2020-07,26.0,Perfect
SAO ROMAO,2020-08,26.0,Perfect
SAO ROMAO,2020-09,26.0,Perfect
SAO ROMAO,2020-10,27.0,Perfect
SAO ROMAO,2020-11,25.0,Perfect
SAO ROMAO,2020-12,26.0,Perfect
SAO ROMAO,2021-01,27.0,Perfect
SAO ROMAO,2021-02,27.0,Perfect
SAO ROMAO,2021-03,27.0,Perfect
SAO ROMAO,2021-04,26.0,Perfect
SAO ROMAO,2021-05,23.0,Regular
SAO ROMAO,2021-06,21.0,Regular
SAO ROMAO,2021-07,21.0,Regular
SAO ROMAO,2021-08,23.0,Regular
SAO ROMAO,2021-09,27.0,Perfect
SAO ROMAO,2021-10,28.0,Perfect
SAO ROMAO,2021-11,28.0,Perfect
SAO ROMAO,2021-12,27.0,Perfect
SAO ROMAO,2022-01,27.0,Perfect
SAO ROMAO,2022-02,26.0,Perfect
SAO ROMAO,2022-03,26.0,Perfect
SAO ROMAO,2022-04,25.0,Perfect
SAO ROMAO,2022-05,25.0,Perfect
SAO ROMAO,2022-06,25.0,Perfect
SAO ROMAO,2022-07,22.0,Regular
SAO ROMAO,2022-08,23.0,Regular
SAO ROMAO,2022-09,26.0,Perfect
SAO ROMAO,2022-10,28.0,Perfect
SAO ROMAO,2022-11,25.0,Perfect
SAO ROMAO,2022-12,25.0,Perfect
SAO ROMAO,2023-01,25.0,Perfect
SAO ROMAO,2023-02,26.0,Perfect
SAO ROMAO,2023-03,26.0,Perfect
SAO ROMAO,2023-04,26.0,Perfect
SAO ROMAO,2023-05,23.0,Regular
SAO ROMAO,2023-06,22.0,Regular
SAO ROMAO,2023-07,22.0,Regular
SAO ROMAO,2023-08,25.0,Perfect
SAO ROMAO,2023-09,28.0,Perfect
SAO ROMAO,2023-10,29.0,Perfect
SAO ROMAO,2023-11,29.0,Perfect
SAO ROMAO,2023-12,28.0,Perfect
SAO SEBASTIAO DO PARAISO,2019-01,24.0,Perfect
SAO SEBASTIAO DO PARAISO,2019-02,23.0,Regular
SAO SEBASTIAO DO PARAISO,2019-03,22.0,Regular
SAO SEBASTIAO DO PARAISO,2019-04,22.0,Regular
SAO SEBASTIAO DO PARAISO,2019-05,20.0,Regular
SAO SEBASTIAO DO PARAISO,2019-06,17.0,Regular
SAO SEBASTIAO DO PARAISO,2019-07,16.0,Regular
SAO SEBASTIAO DO PARAISO,2019-08,19.0,Regular
SAO SEBASTIAO DO PARAISO,2019-09,23.0,Regular
SAO SEBASTIAO DO PARAISO,2019-10,24.0,Perfect
SAO SEBASTIAO DO PARAISO,2019-11,23.0,Regular
SAO SEBASTIAO DO PARAISO,2019-12,23.0,Regular
SAO SEBASTIAO DO PARAISO,2020-01,23.0,Regular
SAO SEBASTIAO DO PARAISO,2020-02,22.0,Regular
SAO SEBASTIAO DO PARAISO,2020-03,22.0,Regular
SAO SEBASTIAO DO PARAISO,2020-04,20.0,Regular
SAO SEBASTIAO DO PARAISO,2020-05,17.0,Regular
SAO SEBASTIAO DO PARAISO,2020-06,18.0,Regular
SAO SEBASTIAO DO PARAISO,2020-07,18.0,Regular
SAO SEBASTIAO DO PARAISO,2020-08,19.0,Regular
SAO SEBASTIAO DO PARAISO,2020-09,24.0,Perfect
SAO SEBASTIAO DO PARAISO,2020-10,24.0,Perfect
SAO SEBASTIAO DO PARAISO,2020-11,23.0,Regular
SAO SEBASTIAO DO PARAISO,2020-12,22.0,Regular
SAO SEBASTIAO DO PARAISO,2022-01,22.0,Regular
SAO SEBASTIAO DO PARAISO,2022-02,22.0,Regular
SAO SEBASTIAO DO PARAISO,2022-03,21.0,Regular
SAO SEBASTIAO DO PARAISO,2022-04,21.0,Regular
SAO SEBASTIAO DO PARAISO,2022-05,21.0,Regular
SAO SEBASTIAO DO PARAISO,2022-06,20.0,Regular
SAO SEBASTIAO DO PARAISO,2022-07,18.0,Regular
SAO SEBASTIAO DO PARAISO,2022-08,19.0,Regular
SAO SEBASTIAO DO PARAISO,2022-09,21.0,Regular
SAO SEBASTIAO DO PARAISO,2022-10,22.0,Regular
SAO SEBASTIAO DO PARAISO,2022-11,21.0,Regular
SAO SEBASTIAO DO PARAISO,2022-12,22.0,Regular
SAO SEBASTIAO DO PARAISO,2023-01,21.0,Regular
SAO SEBASTIAO DO PARAISO,2023-02,22.0,Regular
SAO SEBASTIAO DO PARAISO,2023-03,22.0,Regular
SAO SEBASTIAO DO PARAISO,2023-04,20.0,Regular
SAO SEBASTIAO DO PARAISO,2023-05,18.0,Regular
SAO SEBASTIAO DO PARAISO,2023-06,17.0,Regular
SAO SEBASTIAO DO PARAISO,2023-07,18.0,Regular
SAO SEBASTIAO DO PARAISO,2023-08,20.0,Regular
SAO SEBASTIAO DO PARAISO,2023-09,24.0,Perfect
SAO SEBASTIAO DO PARAISO,2023-10,24.0,Perfect
SAO SEBASTIAO DO PARAISO,2023-11,24.0,Perfect
SAO SEBASTIAO DO PARAISO,2023-12,24.0,Perfect
SERRA DOS AIMORES,2019-01,26.0,Perfect
SERRA DOS AIMORES,2019-02,28.0,Perfect
SERRA DOS AIMORES,2019-03,26.0,Perfect
SERRA DOS AIMORES,2019-04,26.0,Perfect
SERRA DOS AIMORES,2019-05,24.0,Perfect
SERRA DOS AIMORES,2019-06,22.0,Regular
SERRA DOS AIMORES,2019-07,21.0,Regular
SERRA DOS AIMORES,2019-08,21.0,Regular
SERRA DOS AIMORES,2019-09,23.0,Regular
SERRA DOS AIMORES,2019-10,24.0,Perfect
SERRA DOS AIMORES,2019-11,25.0,Perfect
SERRA DOS AIMORES,2019-12,25.0,Perfect
SERRA DOS AIMORES,2020-01,26.0,Perfect
SERRA DOS AIMORES,2020-02,27.0,Perfect
SERRA DOS AIMORES,2020-03,24.0,Perfect
SERRA DOS AIMORES,2020-04,24.0,Perfect
SERRA DOS AIMORES,2020-05,22.0,Regular
SERRA DOS AIMORES,2020-06,22.0,Regular
SERRA DOS AIMORES,2020-07,21.0,Regular
SERRA DOS AIMORES,2020-08,21.0,Regular
SERRA DOS AIMORES,2020-09,23.0,Regular
SERRA DOS AIMORES,2020-10,24.0,Perfect
SERRA DOS AIMORES,2020-11,23.0,Regular
SERRA DOS AIMORES,2020-12,24.0,Perfect
SERRA DOS AIMORES,2021-01,23.0,Regular
SERRA DOS AIMORES,2021-02,25.0,Perfect
SERRA DOS AIMORES,2021-03,25.0,Perfect
SERRA DOS AIMORES,2021-04,24.0,Perfect
SERRA DOS AIMORES,2021-05,23.0,Regular
SERRA DOS AIMORES,2021-06,21.0,Regular
SERRA DOS AIMORES,2021-07,21.0,Regular
SERRA DOS AIMORES,2021-08,21.0,Regular
SERRA DOS AIMORES,2021-09,24.0,Perfect
SERRA DOS AIMORES,2021-10,24.0,Perfect
SERRA DOS AIMORES,2021-11,23.0,Regular
SERRA DOS AIMORES,2021-12,24.0,Perfect
SERRA DOS AIMORES,2022-01,26.0,Perfect
SERRA DOS AIMORES,2022-02,26.0,Perfect
SERRA DOS AIMORES,2022-03,25.0,Perfect
SERRA DOS AIMORES,2022-04,25.0,Perfect
SERRA DOS AIMORES,2022-05,22.0,Regular
SERRA DOS AIMORES,2022-06,21.0,Regular
SERRA DOS AIMORES,2022-07,21.0,Regular
SERRA DOS AIMORES,2022-08,21.0,Regular
SERRA DOS AIMORES,2022-09,22.0,Regular
SERRA DOS AIMORES,2022-10,25.0,Perfect
SERRA DOS AIMORES,2022-11,23.0,Regular
SERRA DOS AIMORES,2022-12,24.0,Perfect
SERRA DOS AIMORES,2023-01,25.0,Perfect
SERRA DOS AIMORES,2023-02,26.0,Perfect
SERRA DOS AIMORES,2023-03,26.0,Perfect
SERRA DOS AIMORES,2023-04,25.0,Perfect
SERRA DOS AIMORES,2023-05,22.0,Regular
SERRA DOS AIMORES,2023-06,21.0,Regular
SERRA DOS AIMORES,2023-07,21.0,Regular
SERRA DOS AIMORES,2023-08,22.0,Regular
SERRA DOS AIMORES,2023-09,24.0,Perfect
SERRA DOS AIMORES,2023-10,25.0,Perfect
SERRA DOS AIMORES,2023-11,26.0,Perfect
SERRA DOS AIMORES,2023-12,27.0,Perfect
SETE LAGOAS,2019-01,25.0,Perfect
SETE LAGOAS,2019-02,24.0,Perfect
SETE LAGOAS,2019-03,24.0,Perfect
SETE LAGOAS,2019-04,23.0,Regular
SETE LAGOAS,2019-05,21.0,Regular
SETE LAGOAS,2019-06,18.0,Regular
SETE LAGOAS,2019-07,17.0,Regular
SETE LAGOAS,2019-08,20.0,Regular
SETE LAGOAS,2019-09,23.0,Regular
SETE LAGOAS,2019-10,25.0,Perfect
SETE LAGOAS,2019-11,25.0,Perfect
SETE LAGOAS,2019-12,24.0,Perfect
SETE LAGOAS,2020-01,24.0,Perfect
SETE LAGOAS,2020-02,23.0,Regular
SETE LAGOAS,2020-03,23.0,Regular
SETE LAGOAS,2020-04,23.0,Regular
SETE LAGOAS,2020-05,19.0,Regular
SETE LAGOAS,2020-06,20.0,Regular
SETE LAGOAS,2020-07,21.0,Regular
SETE LAGOAS,2020-08,19.0,Regular
SETE LAGOAS,2020-09,22.0,Regular
SETE LAGOAS,2020-10,22.0,Regular
SETE LAGOAS,2020-11,22.0,Regular
SETE LAGOAS,2020-12,23.0,Regular
SETE LAGOAS,2021-01,24.0,Perfect
SETE LAGOAS,2021-02,23.0,Regular
SETE LAGOAS,2021-03,23.0,Regular
SETE LAGOAS,2021-04,21.0,Regular
SETE LAGOAS,2021-05,20.0,Regular
SETE LAGOAS,2021-06,19.0,Regular
SETE LAGOAS,2021-07,20.0,Regular
SETE LAGOAS,2021-08,22.0,Regular
SETE LAGOAS,2021-09,24.0,Perfect
SETE LAGOAS,2021-10,23.0,Regular
SETE LAGOAS,2021-11,22.0,Regular
SETE LAGOAS,2021-12,22.0,Regular
SETE LAGOAS,2022-01,23.0,Regular
SETE LAGOAS,2022-02,23.0,Regular
SETE LAGOAS,2022-03,24.0,Perfect
SETE LAGOAS,2022-04,23.0,Regular
SETE LAGOAS,2022-05,18.0,Regular
SETE LAGOAS,2022-06,18.0,Regular
SETE LAGOAS,2022-07,17.0,Regular
SETE LAGOAS,2022-08,20.0,Regular
SETE LAGOAS,2022-09,22.0,Regular
SETE LAGOAS,2022-10,24.0,Perfect
SETE LAGOAS,2022-11,22.0,Regular
SETE LAGOAS,2022-12,22.0,Regular
SETE LAGOAS,2023-01,22.0,Regular
SETE LAGOAS,2023-02,24.0,Perfect
SETE LAGOAS,2023-03,24.0,Perfect
SETE LAGOAS,2023-04,22.0,Regular
SETE LAGOAS,2023-05,19.0,Regular
SETE LAGOAS,2023-06,17.0,Regular
SETE LAGOAS,2023-07,18.0,Regular
SETE LAGOAS,2023-08,20.0,Regular
SETE LAGOAS,2023-09,24.0,Perfect
SETE LAGOAS,2023-10,25.0,Perfect
SETE LAGOAS,2023-11,30.0,Perfect
SETE LAGOAS,2023-12,26.0,Perfect
TEOFILO OTONI,2019-01,26.0,Perfect
TEOFILO OTONI,2019-02,27.0,Perfect
TEOFILO OTONI,2019-03,26.0,Perfect
TEOFILO OTONI,2019-04,25.0,Perfect
TEOFILO OTONI,2019-05,23.0,Regular
TEOFILO OTONI,2019-06,21.0,Regular
TEOFILO OTONI,2019-07,20.0,Regular
TEOFILO OTONI,2019-08,21.0,Regular
TEOFILO OTONI,2019-09,23.0,Regular
TEOFILO OTONI,2019-10,24.0,Perfect
TEOFILO OTONI,2019-11,25.0,Perfect
TEOFILO OTONI,2019-12,25.0,Perfect
TEOFILO OTONI,2020-01,25.0,Perfect
TEOFILO OTONI,2020-02,26.0,Perfect
TEOFILO OTONI,2020-03,23.0,Regular
TEOFILO OTONI,2020-04,23.0,Regular
TEOFILO OTONI,2020-05,21.0,Regular
TEOFILO OTONI,2020-06,20.0,Regular
TEOFILO OTONI,2020-07,20.0,Regular
TEOFILO OTONI,2020-08,20.0,Regular
TEOFILO OTONI,2020-09,23.0,Regular
TEOFILO OTONI,2020-10,24.0,Perfect
TEOFILO OTONI,2020-11,23.0,Regular
TEOFILO OTONI,2020-12,25.0,Perfect
TEOFILO OTONI,2021-01,25.0,Perfect
TEOFILO OTONI,2021-02,24.0,Perfect
TEOFILO OTONI,2021-03,24.0,Perfect
TEOFILO OTONI,2021-04,24.0,Perfect
TEOFILO OTONI,2021-05,23.0,Regular
TEOFILO OTONI,2021-06,23.0,Regular
TEOFILO OTONI,2021-07,22.0,Regular
TEOFILO OTONI,2021-08,23.0,Regular
TEOFILO OTONI,2021-09,25.0,Perfect
TEOFILO OTONI,2021-10,25.0,Perfect
TEOFILO OTONI,2021-11,23.0,Regular
TEOFILO OTONI,2021-12,23.0,Regular
TEOFILO OTONI,2022-01,25.0,Perfect
TEOFILO OTONI,2022-02,22.0,Regular
TEOFILO OTONI,2022-03,22.0,Regular
TEOFILO OTONI,2022-04,23.0,Regular
TEOFILO OTONI,2022-05,22.0,Regular
TEOFILO OTONI,2022-06,20.0,Regular
TEOFILO OTONI,2022-07,20.0,Regular
TEOFILO OTONI,2022-08,21.0,Regular
TEOFILO OTONI,2022-09,22.0,Regular
TEOFILO OTONI,2022-10,25.0,Perfect
TEOFILO OTONI,2022-11,23.0,Regular
TEOFILO OTONI,2022-12,23.0,Regular
TEOFILO OTONI,2023-01,24.0,Perfect
TEOFILO OTONI,2023-02,26.0,Perfect
TEOFILO OTONI,2023-03,26.0,Perfect
TEOFILO OTONI,2023-04,24.0,Perfect
TEOFILO OTONI,2023-05,21.0,Regular
TEOFILO OTONI,2023-06,20.0,Regular
TEOFILO OTONI,2023-07,20.0,Regular
TEOFILO OTONI,2023-08,22.0,Regular
TEOFILO OTONI,2023-09,23.0,Regular
TEOFILO OTONI,2023-10,25.0,Perfect
TEOFILO OTONI,2023-11,27.0,Perfect
TEOFILO OTONI,2023-12,27.0,Perfect
TIMOTEO,2019-01,26.0,Perfect
TIMOTEO,2019-02,25.0,Perfect
TIMOTEO,2019-03,24.0,Perfect
TIMOTEO,2019-04,24.0,Perfect
TIMOTEO,2019-05,22.0,Regular
TIMOTEO,2019-06,20.0,Regular
TIMOTEO,2019-07,20.0,Regular
TIMOTEO,2019-08,21.0,Regular
TIMOTEO,2019-09,23.0,Regular
TIMOTEO,2019-10,25.0,Perfect
TIMOTEO,2019-11,24.0,Perfect
TIMOTEO,2019-12,24.0,Perfect
TIMOTEO,2020-01,25.0,Perfect
TIMOTEO,2020-02,24.0,Perfect
TIMOTEO,2020-03,23.0,Regular
TIMOTEO,2020-04,22.0,Regular
TIMOTEO,2020-05,20.0,Regular
TIMOTEO,2020-06,20.0,Regular
TIMOTEO,2020-07,20.0,Regular
TIMOTEO,2020-08,20.0,Regular
TIMOTEO,2020-09,24.0,Perfect
TIMOTEO,2020-10,23.0,Regular
TIMOTEO,2020-11,23.0,Regular
TIMOTEO,2020-12,24.0,Perfect
TIMOTEO,2021-01,24.0,Perfect
TIMOTEO,2021-02,23.0,Regular
TIMOTEO,2021-03,24.0,Perfect
TIMOTEO,2021-04,22.0,Regular
TIMOTEO,2021-05,21.0,Regular
TIMOTEO,2021-06,19.0,Regular
TIMOTEO,2021-07,19.0,Regular
TIMOTEO,2021-08,20.0,Regular
TIMOTEO,2021-09,24.0,Perfect
TIMOTEO,2021-10,23.0,Regular
TIMOTEO,2021-11,22.0,Regular
TIMOTEO,2021-12,23.0,Regular
TIMOTEO,2022-01,24.0,Perfect
TIMOTEO,2022-02,23.0,Regular
TIMOTEO,2022-03,24.0,Perfect
TIMOTEO,2022-04,23.0,Regular
TIMOTEO,2022-05,20.0,Regular
TIMOTEO,2022-06,19.0,Regular
TIMOTEO,2022-07,20.0,Regular
TIMOTEO,2022-08,21.0,Regular
TIMOTEO,2022-09,22.0,Regular
TIMOTEO,2022-10,24.0,Perfect
TIMOTEO,2022-11,22.0,Regular
TIMOTEO,2022-12,23.0,Regular
TIMOTEO,2023-01,23.0,Regular
TIMOTEO,2023-02,25.0,Perfect
TIMOTEO,2023-03,25.0,Perfect
TIMOTEO,2023-04,23.0,Regular
TIMOTEO,2023-05,20.0,Regular
TIMOTEO,2023-06,19.0,Regular
TIMOTEO,2023-07,20.0,Regular
TIMOTEO,2023-08,21.0,Regular
TIMOTEO,2023-09,23.0,Regular
TIMOTEO,2023-10,26.0,Perfect
TIMOTEO,2023-11,27.0,Perfect
TIMOTEO,2023-12,27.0,Perfect
TRES MARIAS,2019-01,25.0,Perfect
TRES MARIAS,2019-02,24.0,Perfect
TRES MARIAS,2019-03,23.0,Regular
